src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.3.66,192.168.3.6,52056,1514,6,2022-11-25 11:15:12,120253713.0,71.33251677642585,0.3658930681001093,0.23284104333643318,0.1330520247636761,28,16,6454,2124,446.0,66.0,230.5,148.87254855844213,155.0,66.0,132.75,38.53813046840752,446,66,194.95454545454547,129.82644963486212,16854.90702479339,560,320,20,16,2796597.976744186,10017707.0,19.0,4391442.146548504,120253713.0,10017707.0,1090.0,4453841.222222222,4830904.359974667,110284004.0,10019034.0,965.0,7352266.933333334,4133757.9951757286,0,0,0,0,1,0,0,0,0,0,0,0.5714285714285714,194.95454545454547,2045,501,10016792.0,945.0,7866719.5,3768855.3006611164,10016762.0,221396.0,8578686.0,3103912.2278562537,0.0,0.0,0.0,0.0,0.0,0.0,230.5,132.75,0,28,16,6454,2124
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:17:12,120668246.0,64.22567872578507,0.35634892712371075,0.14088213397914146,0.2154667931445693,17,26,2190,5560,155.0,66.0,128.8235294117647,40.55241386028943,368.0,66.0,213.84615384615384,145.48689930650966,368,66,180.2325581395349,123.19295457227503,15176.50405624662,340,520,20,12,2873053.476190476,10018838.0,27.0,4422826.198200154,110652146.0,10020350.0,329.0,6915759.125,4352903.518811595,120666096.0,10018838.0,1087.0,4826643.84,4847466.677791283,0,0,0,0,1,0,0,0,0,0,0,1.5294117647058822,180.2325581395349,501,2045,10017738.0,917.0,7889893.285714285,3742123.7550539863,10018045.0,553424.0,8605145.785714285,3045013.2413248853,0.0,0.0,0.0,0.0,0.0,0.0,128.8235294117647,213.84615384615384,0,17,26,2190,5560
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:19:12,129842835.00000001,175.6816230945666,0.7855651026103981,0.33887122073389725,0.4466938818765009,44,58,4061,18750,155.0,66.0,92.29545454545455,40.60596661567594,1514.0,66.0,323.2758620689655,354.4878186275112,1514,66,223.63725490196077,291.9805187301965,85252.62331795461,880,1160,20,13,1285572.6237623761,10018258.0,6.0,3158356.4877698836,119823796.0,10016955.0,292.0,2786599.906976744,4151865.3421704536,129842014.0,10018258.0,800.0,2277930.0701754387,3926568.4594411743,0,0,0,0,1,0,0,0,0,0,0,1.3181818181818181,223.63725490196077,501,2045,10014730.0,821.0,4985506.791666667,4456311.891959529,10017477.0,15049.0,5402865.791666667,4441555.759900427,0.0,0.0,3460.0,9.333333333333334,0.0,15868.939074281312,92.29545454545455,323.2758620689655,0,44,58,4061,18750
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:21:22,129921167.0,390.25973342742526,1.4470313370876664,0.6388489413738102,0.8081823957138563,83,105,6635,44068,155.0,66.0,79.93975903614458,32.34689586700852,1514.0,66.0,419.6952380952381,459.8252902966211,1514,66,269.6968085106383,383.42704178603924,147016.2963727931,1660,2100,20,13,694765.5989304812,10018169.0,6.0,2369996.5670287563,119985713.0,10019600.0,245.0,1463240.4024390243,3252435.1645090217,129920329.0,10018169.0,426.0,1249233.9326923077,3068397.193483476,0,0,0,0,1,0,0,0,0,0,0,1.2650602409638554,269.6968085106383,501,2045,10017245.0,838.0,3739595.25,4309203.876809482,10017331.0,10039.0,3702880.742857143,4341556.427843771,0.0,0.0,5333.6,13.6,0.0,75746.51559779474,79.93975903614458,419.6952380952381,0,83,105,6635,44068
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:23:32,120380932.0,185.71878144289497,0.9054590140571432,0.4070412081541286,0.4984178059030146,49,60,4391,17966,155.0,66.0,89.61224489795919,39.29315063464837,1514.0,66.0,299.43333333333334,314.6818693361422,1514,66,205.11009174311926,257.09375505636535,66097.1988889824,980,1200,20,13,1114638.2592592593,10018051.0,6.0,2912309.726385792,119369854.0,10028387.0,325.0,2486871.9583333335,3963440.045696814,120379927.0,10018051.0,304.0,2040337.7457627119,3694159.4538466935,0,0,0,0,1,0,0,0,0,0,0,1.2244897959183674,205.11009174311926,501,2045,10017202.0,680.0,5673507.904761905,4213192.616595377,10017287.0,15075.0,5721553.19047619,4151643.5956234834,0.0,0.0,3197.3333333333335,10.0,0.0,54101.00508747983,89.61224489795919,299.43333333333334,0,49,60,4391,17966
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:25:33,129945983.00000001,83.51162344125711,0.3770797593643198,0.1462146005698383,0.23086515879448152,19,30,2322,8530,155.0,66.0,122.21052631578948,42.93149861590207,1514.0,66.0,284.3333333333333,283.1160343196565,1514,66,221.46938775510205,236.70399167554262,56028.77967513535,380,600,20,12,2707207.9791666665,10014472.0,8.0,4407775.758207267,119930928.0,10016473.0,345.0,6662829.333333333,4626744.626641501,120977915.0,10014472.0,911.0,4171652.2413793104,4910419.617614565,0,0,0,0,1,0,0,0,0,0,0,1.5789473684210527,221.46938775510205,501,2045,10013728.0,40564.0,8562668.57142857,3352915.006511939,10013735.0,39688.0,8659438.933333334,3259573.5082049095,0.0,0.0,2624.0,5.0,0.0,39934.254580872956,122.21052631578948,284.3333333333333,0,19,30,2322,8530
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:27:43,120039608.0,64.01220503819039,0.3498845147844868,0.13328933896551878,0.216595175818968,16,26,2124,5560,155.0,66.0,132.75,38.53813046840752,368.0,66.0,213.84615384615384,145.48689930650966,368,66,182.95238095238096,123.3683899432436,15219.75963718821,320,520,20,12,2927795.3170731706,10017855.0,19.0,4348016.794400797,110024384.0,10019653.0,475.0,7334958.933333334,3836449.0455873115,120038895.0,10017855.0,940.0,4801555.8,4692980.272912956,0,0,0,0,1,0,0,0,0,0,0,1.625,182.95238095238096,501,2045,10016857.0,713.0,7845220.928571428,3414304.2139411373,10016987.0,1919273.0,8560431.357142856,2672919.5512684146,0.0,0.0,0.0,0.0,0.0,0.0,132.75,213.84615384615384,0,16,26,2124,5560
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:29:43,120581461.0,64.653388135677,0.3483122500895888,0.13269038098651,0.2156218691030788,16,26,2124,5672,155.0,66.0,132.75,38.53813046840752,368.0,66.0,218.15384615384616,145.95987127861082,368,66,185.61904761904762,124.39548154038552,15474.235827664395,320,520,20,12,2941011.2439024393,10017646.0,37.0,4376530.463911549,110563298.0,10019628.0,710.0,7370886.533333333,3875499.964114667,120580624.0,10017646.0,1135.0,4823224.96,4731738.9264844395,0,0,0,0,1,0,0,0,0,0,0,1.625,185.61904761904762,501,2045,10016508.0,837.0,7883257.428571428,3474306.5424566735,10016720.0,1844141.0,8598658.357142856,2715929.7896320783,0.0,0.0,0.0,0.0,0.0,0.0,132.75,218.15384615384616,0,16,26,2124,5672
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:31:43,129761399.00000001,87.58382760654422,0.41614841097698085,0.16183549315771478,0.25431291781926607,21,33,2543,8822,155.0,66.0,121.0952380952381,43.22026063902456,1514.0,66.0,267.3333333333333,269.652825805046,1514,66,210.46296296296296,224.15245415192751,50244.32270233196,420,660,20,13,2448328.283018868,10017684.0,17.0,4204839.180526244,119746270.0,10019400.0,461.0,5987313.5,4680367.561613686,129760606.0,10017684.0,416.0,4055018.9375,4773527.441618344,0,0,0,0,1,0,0,0,0,0,0,1.5714285714285714,210.46296296296296,501,2045,10016854.0,793.0,7476482.5625,4028596.9367484343,10016856.0,21741.0,8102264.25,3567662.3918628166,0.0,0.0,2324.0,4.0,0.0,34429.11956859898,121.0952380952381,267.3333333333333,0,21,33,2543,8822
192.168.3.6,192.168.3.66,1514,52056,6,2022-11-25 11:33:53,129612842.0,67.06897145268985,0.37033367418947577,0.1465904127000008,0.22374326148947493,19,29,2411,6282,155.0,66.0,126.89473684210526,41.369827215956754,368.0,66.0,216.6206896551724,143.98573056529222,368,66,181.10416666666666,122.99716114327823,15128.301649305555,380,580,20,13,2757720.0425531915,10018204.0,10.0,4339144.013815873,119598198.0,10019864.0,346.0,6644344.333333333,4405967.6137782335,129611869.0,10018204.0,1078.0,4628995.321428572,4792607.658622973,0,0,0,0,1,0,0,0,0,0,0,1.5263157894736843,181.10416666666666,501,2045,10017300.0,973.0,7957408.2,3570273.872229509,10017422.0,921037.0,8624867.266666668,2893419.3497552676,0.0,0.0,0.0,0.0,0.0,0.0,126.89473684210526,216.6206896551724,0,19,29,2411,6282
